strain	cell_line	mean_log_RTC
BALB/cJ F1	AT3	0.475092
C57BL/6J	AT3	-0.369754
CC02 F1	AT3	0.409337
CC04 F1	AT3	-0.354205
CC07 F1	AT3	-0.20011
CC11 F1	AT3	-0.131348
CC15 F1	AT3	-0.0377616
CC16 F1	AT3	-0.102081
CC24 F1	AT3	-0.29121
CC25 F1	AT3	0.111106
CC44 F1	AT3	0.152603
CC57 F1	AT3	-0.0566392
CC60 F1	AT3	0.0892835
CC65 F1	AT3	-0.0833905
CC68 F1	AT3	-0.431423
CC74 F1	AT3	-0.622342
CC80 F1	AT3	0.136334
BALB/cJ	CT26	-1.16858
C57BL/6J F1	CT26	-1.68517
CC01 F1	CT26	-1.32608
CC02 F1	CT26	-0.267612
CC05 F1	CT26	-2.41116
CC07 F1	CT26	-3.21319
CC08 F1	CT26	-0.305125
CC09 F1	CT26	-2.7545
CC12 F1	CT26	-2.97576
CC17 F1	CT26	-0.314801
CC23 F1	CT26	0.377666
CC25 F1	CT26	-1.16476
CC27 F1	CT26	-0.387903
CC32 F1	CT26	-1.24579
CC33 F1	CT26	-1.06575
CC36 F1	CT26	0.336126
CC75 F1	CT26	-1.61696
CC78 F1	CT26	-4.20292
CC79 F1	CT26	-1.17304
CC80 F1	CT26	-0.849781
BALB/cJ	EMT6	-0.260313
C57BL/6J F1	EMT6	-1.63709
CC02 F1	EMT6	0.27612
CC03 F1	EMT6	-1.92427
CC05 F1	EMT6	-0.426851
CC07 F1	EMT6	-0.782738
CC08 F1	EMT6	-0.468274
CC09 F1	EMT6	0.215184
CC17 F1	EMT6	0.238508
CC25 F1	EMT6	-2.23044
CC27 F1	EMT6	-1.27578
CC33 F1	EMT6	-1.80356
CC36 F1	EMT6	-2.47795
CC75 F1	EMT6	-0.170452
CC78 F1	EMT6	-0.5462
CC80 F1	EMT6	-0.30635
BALB/cJ F1	MC38	-3.46925
C57BL/6J	MC38	-7.25207
CC01 F1	MC38	-7.61206
CC02 F1	MC38	-9.47001
CC03 F1	MC38	-8.24045
CC04 F1	MC38	-7.28953
CC05 F1	MC38	-3.6607
CC07 F1	MC38	-4.24974
CC08 F1	MC38	-6.90202
CC09 F1	MC38	-3.87237
CC10 F1	MC38	-10.9387
CC11 F1	MC38	-7.63705
CC12 F1	MC38	-7.06808
CC15 F1	MC38	-2.58904
CC16 F1	MC38	-3.63754
CC17 F1	MC38	-7.02475
CC23 F1	MC38	-7.21181
CC24 F1	MC38	-3.87702
CC25 F1	MC38	-6.363
CC27 F1	MC38	-8.79834
CC32 F1	MC38	-8.12389
CC33 F1	MC38	-2.72623
CC36 F1	MC38	-4.69005
CC44 F1	MC38	-2.39336
CC57 F1	MC38	-5.73825
CC58 F1	MC38	-6.24967
CC60 F1	MC38	-1.57969
CC65 F1	MC38	-1.46721
CC68 F1	MC38	-8.45063
CC74 F1	MC38	-8.71831
CC75 F1	MC38	-7.16174
CC78 F1	MC38	-4.28888
CC79 F1	MC38	-0.696061
CC80 F1	MC38	-1.71326
